,시군구,기준년도,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시
2017,동대문구,부상자수,110,-,-,3,3,22,10,16,13,15,9,8,11
2017,성북구,사고건수,51,-,-,2,1,6,4,4,9,8,8,7,2
2017,성북구,사망자수,1,-,-,1,0,0,0,0,0,0,0,0,0
2017,성북구,부상자수,54,-,-,1,1,6,4,5,11,9,8,7,2
2017,도봉구,사고건수,66,1,2,1,3,8,8,7,6,10,12,5,3
2017,도봉구,사망자수,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,도봉구,부상자수,68,1,2,1,3,8,8,7,6,10,14,5,3
2017,은평구,사고건수,51,1,1,1,5,5,4,7,2,9,6,6,4
2017,은평구,사망자수,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,은평구,부상자수,52,1,1,1,5,5,4,7,2,9,7,6,4
2017,서대문구,사고건수,26,1,2,1,-,4,2,1,5,3,2,3,2
2017,서대문구,사망자수,0,0,0,0,-,0,0,0,0,0,0,0,0
2017,서대문구,부상자수,29,1,3,1,-,4,2,1,5,4,2,3,3
2017,마포구,사고건수,48,1,1,-,4,6,6,2,7,7,6,5,3
2017,마포구,사망자수,0,0,0,-,0,0,0,0,0,0,0,0,0
2017,마포구,부상자수,49,1,1,-,4,6,6,2,8,7,6,5,3
2017,강서구,사고건수,87,3,-,2,12,6,7,6,8,7,20,9,7
2017,강서구,사망자수,2,0,-,0,0,0,1,0,0,0,0,1,0
2017,강서구,부상자수,93,3,-,2,12,7,6,7,9,8,22,9,8
2017,구로구,사고건수,49,-,1,1,2,8,5,6,7,9,5,2,3
2017,구로구,사망자수,0,-,0,0,0,0,0,0,0,0,0,0,0
2017,구로구,부상자수,51,-,1,1,2,9,5,6,7,10,5,2,3
2017,영등포구,사고건수,150,2,1,2,7,16,13,21,26,22,23,14,3
2017,영등포구,사망자수,1,0,0,0,0,0,0,0,0,0,1,0,0
2017,영등포구,부상자수,163,2,1,2,7,16,15,23,31,24,23,16,3
2017,동작구,사고건수,54,-,-,4,4,3,7,3,7,15,3,6,2
2017,동작구,사망자수,1,-,-,0,0,0,0,0,1,0,0,0,0
2017,동작구,부상자수,65,-,-,4,5,4,9,4,6,19,4,7,3
2017,관악구,사고건수,36,1,1,-,3,4,-,5,7,8,3,4,-
2017,관악구,사망자수,0,0,0,-,0,0,-,0,0,0,0,0,-
2017,관악구,부상자수,39,1,1,-,3,4,-,6,9,8,3,4,-
2017,강남구,사고건수,63,2,-,-,7,6,3,4,16,5,8,6,6
2017,강남구,사망자수,0,0,-,-,0,0,0,0,0,0,0,0,0
2017,강남구,부상자수,68,2,-,-,10,6,4,4,16,5,9,6,6
2017,강동구,사고건수,80,2,1,1,8,7,13,5,11,13,10,6,3
2017,강동구,사망자수,5,0,0,1,0,0,2,1,1,0,0,0,0
2017,강동구,부상자수,82,2,1,0,8,8,12,5,12,13,12,6,3
2017,송파구,사고건수,214,4,1,3,12,31,13,16,29,39,26,23,17
2017,송파구,사망자수,1,0,0,0,0,1,0,0,0,0,0,0,0
2017,송파구,부상자수,241,4,1,3,15,32,13,17,31,46,31,26,22
2017,서초구,사고건수,30,-,-,-,3,3,2,3,7,5,4,1,2
2017,서초구,사망자수,0,-,-,-,0,0,0,0,0,0,0,0,0
2017,서초구,부상자수,31,-,-,-,3,3,2,3,7,6,4,1,2
2017,양천구,사고건수,76,-,-,2,4,6,5,12,12,12,12,6,5
2017,양천구,사망자수,0,-,-,0,0,0,0,0,0,0,0,0,0
2017,양천구,부상자수,78,-,-,2,4,6,5,12,14,12,12,6,5
2017,중랑구,사고건수,114,3,1,-,8,16,8,10,15,16,14,11,12
2017,중랑구,사망자수,1,0,0,-,0,1,0,0,0,0,0,0,0
2017,중랑구,부상자수,127,4,1,-,8,16,8,10,23,16,15,12,14
2017,노원구,사고건수,77,1,-,2,4,14,8,9,7,8,7,11,6
2017,노원구,사망자수,0,0,-,0,0,0,0,0,0,0,0,0,0
2017,노원구,부상자수,82,1,-,2,5,15,8,9,9,9,7,11,6
2017,광진구,사고건수,60,1,2,3,2,8,4,12,7,7,9,4,1
2017,광진구,사망자수,1,0,0,0,0,1,0,0,0,0,0,0,0
2017,광진구,부상자수,62,1,2,3,2,10,4,12,7,7,9,4,1
2017,강북구,사고건수,46,3,1,2,2,7,2,6,9,6,5,2,1
2017,강북구,사망자수,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,강북구,부상자수,53,3,1,2,2,10,2,6,10,7,6,2,2
2017,금천구,사고건수,26,1,1,-,-,4,6,2,3,3,2,2,2
2017,금천구,사망자수,0,0,0,-,-,0,0,0,0,0,0,0,0
2017,금천구,부상자수,27,1,2,-,-,4,6,2,3,3,2,2,2
2018,합계,사고건수,"1,471",32,13,34,86,157,148,140,202,245,190,137,87
2018,합계,사망자수,18,0,1,3,0,1,2,2,1,3,0,3,2
2018,합계,부상자수,"1,573",35,12,35,91,171,154,144,214,268,203,151,95
2018,종로구,사고건수,21,-,-,2,1,3,3,2,2,3,2,1,2
2018,종로구,사망자수,0,-,-,0,0,0,0,0,0,0,0,0,0
2018,종로구,부상자수,22,-,-,2,1,3,3,2,2,3,3,1,2
2018,중구,사고건수,14,-,-,1,1,-,1,3,1,2,2,1,2
2018,중구,사망자수,1,-,-,1,0,-,0,0,0,0,0,0,0
2018,중구,부상자수,13,-,-,0,1,-,1,3,1,2,2,1,2
2018,용산구,사고건수,26,-,-,-,-,3,3,4,6,1,4,2,3
2018,용산구,사망자수,0,-,-,-,-,0,0,0,0,0,0,0,0
2018,용산구,부상자수,34,-,-,-,-,4,3,4,11,1,5,2,4
2018,성동구,사고건수,47,1,-,1,4,3,5,6,6,7,9,3,2
2018,성동구,사망자수,1,0,-,0,0,0,1,0,0,0,0,0,0
2018,성동구,부상자수,51,1,-,1,5,4,5,6,6,8,9,4,2
2018,동대문구,사고건수,105,1,1,2,7,16,7,9,17,23,7,8,7
2018,동대문구,사망자수,1,0,0,0,0,0,0,1,0,0,0,0,0
2018,동대문구,부상자수,114,1,1,2,9,17,7,8,19,26,7,10,7
2018,성북구,사고건수,41,-,2,1,2,3,7,4,5,4,4,5,4
2018,성북구,사망자수,0,-,0,0,0,0,0,0,0,0,0,0,0
2018,성북구,부상자수,41,-,2,1,2,3,7,4,5,4,4,5,4
2018,도봉구,사고건수,45,-,-,1,3,5,3,4,8,8,9,4,-
2018,도봉구,사망자수,1,-,-,0,0,0,0,0,0,1,0,0,-
2018,도봉구,부상자수,45,-,-,1,3,5,3,4,8,7,9,5,-
2018,은평구,사고건수,51,3,-,3,4,7,4,3,9,5,6,2,5
2018,은평구,사망자수,1,0,-,0,0,0,0,0,1,0,0,0,0
2018,은평구,부상자수,54,3,-,4,4,8,4,3,8,6,6,3,5
2018,서대문구,사고건수,30,-,-,-,3,4,5,2,3,3,4,4,2
2018,서대문구,사망자수,0,-,-,-,0,0,0,0,0,0,0,0,0
2018,서대문구,부상자수,35,-,-,-,3,5,6,2,3,3,5,6,2
2018,마포구,사고건수,45,1,-,2,4,2,1,3,7,11,5,7,2
2018,마포구,사망자수,1,0,-,0,0,0,0,0,0,0,0,1,0
2018,마포구,부상자수,46,1,-,2,4,2,1,3,7,13,5,6,2
2018,강서구,사고건수,59,1,1,1,4,4,9,4,6,12,9,5,3
2018,강서구,사망자수,1,0,0,0,0,0,0,0,0,1,0,0,0
2018,강서구,부상자수,59,1,1,1,5,4,9,4,6,11,9,5,3
2018,구로구,사고건수,53,1,1,3,8,3,2,7,6,10,5,4,3
2018,구로구,사망자수,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,구로구,부상자수,59,1,1,5,8,3,2,7,7,11,5,6,3
2018,영등포구,사고건수,161,6,2,1,6,21,19,14,17,26,25,11,13
2018,영등포구,사망자수,4,0,1,0,0,1,0,0,0,0,0,0,2
2018,영등포구,부상자수,172,6,1,1,6,23,19,15,19,29,28,12,13
2018,동작구,사고건수,63,1,-,3,4,4,5,8,4,7,11,10,6
2018,동작구,사망자수,0,0,-,0,0,0,0,0,0,0,0,0,0
2018,동작구,부상자수,71,1,-,3,4,5,5,9,4,8,12,11,9
2018,관악구,사고건수,25,2,-,-,-,3,3,3,5,3,2,4,-
2018,관악구,사망자수,1,0,-,-,-,0,0,0,0,0,0,1,-
2018,관악구,부상자수,24,2,-,-,-,3,3,3,5,3,2,3,-
2018,강남구,사고건수,59,4,1,1,2,6,6,4,9,8,10,5,3
2018,강남구,사망자수,1,0,0,1,0,0,0,0,0,0,0,0,0
2018,강남구,부상자수,68,5,1,0,2,6,6,4,10,10,15,5,4
2018,강동구,사고건수,66,1,-,1,2,9,7,7,10,15,8,4,2
2018,강동구,사망자수,0,0,-,0,0,0,0,0,0,0,0,0,0
2018,강동구,부상자수,70,2,-,1,2,11,7,7,10,16,8,4,2
2018,송파구,사고건수,178,5,2,1,12,28,14,14,26,30,25,16,5
2018,송파구,사망자수,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,송파구,부상자수,196,5,2,1,12,32,17,16,27,36,26,17,5
2018,서초구,사고건수,36,-,-,1,2,8,1,4,2,7,5,4,2
2018,서초구,사망자수,0,-,-,0,0,0,0,0,0,0,0,0,0
2018,서초구,부상자수,38,-,-,2,2,8,1,4,2,7,5,5,2
2018,양천구,사고건수,46,-,-,-,1,5,8,3,4,8,8,6,3
2018,양천구,사망자수,0,-,-,-,0,0,0,0,0,0,0,0,0
2018,양천구,부상자수,54,-,-,-,2,5,10,3,4,9,8,9,4
2018,중랑구,사고건수,78,2,-,1,1,7,5,8,19,12,10,7,6
2018,중랑구,사망자수,1,0,-,0,0,0,0,0,0,0,0,1,0
2018,중랑구,부상자수,80,2,-,1,1,7,5,9,19,13,10,7,6
2018,노원구,사고건수,86,2,1,2,5,5,10,9,12,18,8,9,5
2018,노원구,사망자수,1,0,0,0,0,0,1,0,0,0,0,0,0
2018,노원구,부상자수,88,2,1,2,5,5,9,9,13,19,8,9,6
2018,광진구,사고건수,70,-,-,2,5,6,8,10,11,14,2,9,3
2018,광진구,사망자수,2,-,-,0,0,0,0,1,0,1,0,0,0
2018,광진구,부상자수,72,-,-,2,5,6,8,10,11,15,2,9,4
2018,강북구,사고건수,41,1,1,3,2,1,8,2,5,6,6,2,4
2018,강북구,사망자수,1,0,0,1,0,0,0,0,0,0,0,0,0
2018,강북구,부상자수,41,2,1,2,2,1,8,2,5,6,6,2,4
2018,금천구,사고건수,25,-,1,1,3,1,4,3,2,2,4,4,-
2018,금천구,사망자수,0,-,0,0,0,0,0,0,0,0,0,0,-
2018,금천구,부상자수,26,-,1,1,3,1,5,3,2,2,4,4,-
2019,합계,사고건수,"1,766",35,15,48,109,215,177,178,216,286,231,155,101
2019,합계,사망자수,11,1,1,0,0,0,0,1,3,3,2,0,0
2019,합계,부상자수,"1,950",35,14,48,117,237,195,194,229,322,264,175,120
2019,종로구,사고건수,19,-,-,-,2,3,1,5,2,1,1,3,1
2019,종로구,사망자수,1,-,-,-,0,0,0,1,0,0,0,0,0
2019,종로구,부상자수,18,-,-,-,2,3,1,4,2,1,1,3,1
2019,중구,사고건수,23,-,1,1,2,2,-,4,6,3,2,-,2
2019,중구,사망자수,0,-,0,0,0,0,-,0,0,0,0,-,0
2019,중구,부상자수,25,-,1,1,3,2,-,4,7,3,2,-,2
2019,용산구,사고건수,22,1,1,1,3,1,1,1,2,5,-,4,2
2019,용산구,사망자수,0,0,0,0,0,0,0,0,0,0,-,0,0
2019,용산구,부상자수,23,1,1,1,4,1,1,1,2,5,-,4,2
2019,성동구,사고건수,63,-,-,-,5,7,11,4,5,11,12,5,3
2019,성동구,사망자수,0,-,-,-,0,0,0,0,0,0,0,0,0
2019,성동구,부상자수,68,-,-,-,5,8,12,4,5,12,13,5,4
2019,동대문구,사고건수,110,2,-,2,9,14,15,7,12,18,17,4,10
2019,동대문구,사망자수,1,0,-,0,0,0,0,0,0,1,0,0,0
2019,동대문구,부상자수,120,2,-,2,9,17,16,7,14,18,21,4,10
2019,성북구,사고건수,37,1,2,1,1,6,7,4,1,5,5,3,1
2019,성북구,사망자수,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,성북구,부상자수,39,1,2,1,2,6,7,4,2,5,6,3,1
2019,도봉구,사고건수,62,-,-,1,0,4,9,3,11,15,8,6,3
2019,도봉구,사망자수,0,-,-,0,2,0,0,0,0,0,0,0,0
2019,도봉구,부상자수,77,-,-,1,3,7,9,3,11,18,8,6,12
2019,은평구,사고건수,62,1,-,3,0,6,6,6,9,10,9,7,2
2019,은평구,사망자수,1,0,-,0,3,0,0,0,1,0,0,0,0
2019,은평구,부상자수,69,1,-,3,4,7,6,8,8,12,12,7,2
2019,서대문구,사고건수,48,1,-,4,0,5,9,2,8,6,6,1,2
2019,서대문구,사망자수,1,0,-,0,4,0,0,0,0,0,1,0,0
2019,서대문구,부상자수,49,1,-,4,3,5,9,2,8,7,5,1,3
2019,마포구,사고건수,52,1,-,2,0,7,4,1,6,9,8,8,3
2019,마포구,사망자수,0,0,-,0,3,0,0,0,0,0,0,0,0
2019,마포구,부상자수,58,1,-,2,5,7,5,1,7,11,9,9,3
2019,강서구,사고건수,72,1,-,2,0,7,4,9,8,13,12,5,6
2019,강서구,사망자수,0,0,-,0,6,0,0,0,0,0,0,0,0
2019,강서구,부상자수,79,1,-,2,1,7,4,10,8,17,13,5,6
2019,구로구,사고건수,71,1,-,2,0,11,11,8,8,14,6,5,4
2019,구로구,사망자수,0,0,-,0,1,0,0,0,0,0,0,0,0
2019,구로구,부상자수,78,1,-,2,8,13,11,9,8,14,8,7,4
2019,영등포구,사고건수,189,7,4,10,0,22,20,20,27,25,22,17,7
2019,영등포구,사망자수,0,0,0,0,10,0,0,0,0,0,0,0,0
2019,영등포구,부상자수,219,7,4,10,7,22,27,23,30,30,27,20,9
2019,동작구,사고건수,53,3,1,1,0,1,3,4,6,15,5,4,3
2019,동작구,사망자수,0,0,0,0,7,0,0,0,0,0,0,0,0
2019,동작구,부상자수,63,4,1,1,6,1,3,5,7,20,6,4,4
2019,관악구,사고건수,43,-,1,1,0,3,7,10,1,7,4,1,2
2019,관악구,사망자수,1,-,1,0,6,0,0,0,0,0,0,0,0
2019,관악구,부상자수,46,-,0,1,4,3,7,11,1,8,5,1,3
2019,강남구,사고건수,60,2,1,-,0,8,5,7,7,13,8,2,3
2019,강남구,사망자수,0,0,0,-,4,0,0,0,0,0,0,0,0
2019,강남구,부상자수,70,2,1,-,5,9,7,8,8,16,10,2,3
2019,강동구,사고건수,70,-,1,1,0,13,7,5,9,9,12,5,3
2019,강동구,사망자수,0,-,0,0,6,0,0,0,0,0,0,0,0
2019,강동구,부상자수,78,-,1,1,13,14,9,6,9,10,13,6,3
2019,송파구,사고건수,218,4,1,3,0,29,23,19,34,32,32,16,12
2019,송파구,사망자수,0,0,0,0,14,0,0,0,0,0,0,0,0
2019,송파구,부상자수,245,4,1,3,3,34,24,24,38,33,39,18,13
2019,서초구,사고건수,46,2,1,-,0,5,5,2,10,10,2,6,-
2019,서초구,사망자수,0,0,0,-,3,0,0,0,0,0,0,0,-
2019,서초구,부상자수,50,2,1,-,3,6,5,2,10,11,2,8,-
2019,양천구,사고건수,70,3,-,2,0,11,2,11,7,10,7,8,6
2019,양천구,사망자수,1,0,-,0,3,0,0,0,0,1,0,0,0
2019,양천구,부상자수,70,3,-,2,5,11,2,12,7,9,7,8,6
2019,중랑구,사고건수,99,3,1,2,0,14,6,12,6,18,12,10,10
2019,중랑구,사망자수,2,0,0,0,5,0,0,0,1,1,0,0,0
2019,중랑구,부상자수,105,3,1,2,11,14,6,12,6,21,13,11,11
2019,노원구,사고건수,119,-,-,3,0,12,12,14,12,18,17,14,6
2019,노원구,사망자수,0,-,-,0,12,0,0,0,0,0,0,0,0
2019,노원구,부상자수,126,-,-,3,-,13,13,14,12,18,18,17,6
2019,광진구,사고건수,61,-,-,3,-,7,7,8,8,9,8,8,3
2019,광진구,사망자수,0,-,-,0,-,0,0,0,0,0,0,0,0
2019,광진구,부상자수,65,-,-,3,2,8,7,8,8,9,8,11,3
2019,강북구,사고건수,57,2,-,2,0,7,-,8,6,5,9,9,7
2019,강북구,사망자수,2,1,-,0,2,0,-,0,0,0,1,0,0
2019,강북구,부상자수,62,1,-,2,2,8,-,8,6,7,8,11,9
2019,금천구,사고건수,40,-,-,1,0,10,2,4,5,5,7,4,-
2019,금천구,사망자수,1,-,-,0,2,0,0,0,1,0,0,0,-
2019,금천구,부상자수,48,-,-,1,,11,4,4,5,7,10,4,-
2020,합계,사고건수,"1,802",25,15,37,88,175,204,184,249,304,243,192,86
2020,합계,사망자수,14,0,0,0,3,2,1,0,2,2,2,1,1
2020,합계,부상자수,"2,018",26,17,44,93,182,224,204,291,336,277,228,96
2020,종로구,사고건수,20,-,-,-,4,2,5,2,1,1,3,1,1
2020,종로구,사망자수,1,-,-,-,1,0,0,0,0,0,0,0,0
