구분,대여소명,반납일자,반납건수,,,,
강북구,1514. 강북구청 사거리 버스정류소 앞,201901,392,,,,
강북구,1515. 송천동 주민센터,201901,151,,,,
강북구,1516. 우이초등학교 후문 옆,201901,125,,,,
강북구,1518. SK telecom(수유직영점) 앞,201901,222,,,,
강북구,1519. 세븐일레븐 수유장미원점 앞,201901,97,,,,
강북구,1520. 성실교회,201901,211,,,,
강북구,1522. 월드전기조명인테리어(우이동),201901,71,,,,
강북구,1525. 미아동 복합청사,201901,114,,,,
강북구,1526. 수유동 채선당앞,201901,172,,,,
강북구,1527. 미아역 1번 출구 뒤,201901,154,,,,
강북구,1528. 삼각산동 주민센터,201901,85,,,,
강북구,1529. 미아동 한국전력공사,201901,394,,,,
강북구,1530. 광산사거리,201901,283,,,,
강북구,1531. 미아사거리 1번 출구,201901,621,,,,
강북구,1532. 번3동 주민센터 교차로,201901,190,,,,
강북구,"1533. 번동 주공3, 4단지 교차로",201901,390,,,,
강북구,1534. 북서울 꿈의 숲 동문,201901,96,,,,
강북구,1535. 효성인텔리안 앞,201901,578,,,,
강북구,1536. 번동 두산위브 101동 옆,201901,143,,,,
강북구,1537. 북한산 우이역,201901,92,,,,
강북구,1538. 솔밭공원역,201901,148,,,,
강북구,1539. 4.19민주묘지역,201901,238,,,,
강북구,1540. 가오리역,201901,184,,,,
강북구,1541. 삼양역,201901,45,,,,
강북구,1542. 삼양사거리역,201901,74,,,,
강북구,1543. 수유1동 주민센터,201901,140,,,,
강북구,1545. 솔샘역 2번 출구,201901,71,,,,
강북구,1546. 송천동우체국,201901,131,,,,
강북구,1547. 꿈의숲 롯데캐슬,201901,57,,,,
강북구,1548. 북서울 꿈의숲 서문,201901,81,,,,
강서구,1101. 개화동상사마을종점 버스정류장,201901,48,,,,
강서구,1102. 방화사거리 마을버스 버스정류장,201901,247,,,,
강서구,1103. 방화역 4번출구앞,201901,216,,,,
강서구,1105. 방화근린공원,201901,34,,,,
강서구,1106. 신방화사거리,201901,269,,,,
강서구,1108. 공항시장역 1번출구,201901,133,,,,
강서구,1109. 공항시장역 4번출구,201901,104,,,,
강서구,1110. 공항중학교앞,201901,121,,,,
강서구,1111. 마곡엠밸리6_7단지 마곡중학교,201901,195,,,,
강서구,1112. 마곡엠밸리4단지 정문,201901,837,,,,
강서구,1113. 서남환경공원 버스정류장,201901,298,,,,
강서구,1114. 서남물재생센터 버스정류장,201901,55,,,,
강서구,1115. 등촌역 1번출구옆,201901,41,,,,
강서구,1117. 스타벅스앞,201901,502,,,,
강서구,1118. 증미역 3번출구뒤(등촌두산위브센티움오피스텔),201901,710,,,,
강서구,1119. 염창동 한마음아파트앞(염창동 빛나는 음악학원앞),201901,310,,,,
강서구,1120. 대림경동아파트앞,201901,387,,,,
강서구,1121. 가양레포츠센터앞,201901,251,,,,
강서구,1122. 황금내근린공원,201901,244,,,,
강서구,1124. 발산역 6번출구옆(다이소앞),201901,530,,,,
강서구,1125. 명덕고교입구(영종빌딩),201901,341,,,,
강서구,1126. 우장산역 1번출구옆(우장산아이파크105동앞),201901,260,,,,
강서구,1127. 화곡역(에이스정형외과앞) 버스정류장,201901,334,,,,
강서구,1128. 화곡역 6번출구,201901,194,,,,
강서구,1129. 화곡역 1번 출구 앞,201901,259,,,,
강서구,1130. 화곡본동시장 버스정류장,201901,94,,,,
강서구,1131. 꿈돌이공원 앞,201901,427,,,,
강서구,1132. 등촌역 7번출구,201901,307,,,,
강서구,1135. 강서구의회,201901,271,,,,
강서구,1136. 등촌2파출소,201901,50,,,,
강서구,1137. 등촌2동주민센터,201901,61,,,,
강서구,1139. 용문사 버스정류장,201901,243,,,,
강서구,1140. 목동사거리 버스정류장,201901,418,,,,
강서구,1141. 곰달래 문화복지센터 1-1,201901,342,,,,
강서구,1145. 곰달래 문화복지센터 1-2,201901,239,,,,
강서구,1146. 곰달래사거리,201901,313,,,,
강서구,1148. 볏골공원,201901,171,,,,
강서구,1149. 신방화역환승주차장,201901,529,,,,
강서구,1150. 송정역 1번출구,201901,365,,,,
