기간,자치구,자치구(2),합계,합계,자전거전용도로,자전거전용도로,자전거보행자겸용도로,자전거보행자겸용도로,자전거전용차로,자전거전용차로,자전거우선도로,자전거우선도로
기간,자치구,자치구(2),구간,길이,구간,길이,구간,길이,구간,길이,구간,길이
2020,도로변,중구,18,15.3,-,-,4,4.6,-,-,14,10.7
2020,도로변,용산구,26,33,5,2,11,10.6,-,-,10,20.4
2020,도로변,성동구,31,27.2,1,0.3,18,16.9,3,2,9,8
2020,도로변,광진구,50,46.8,1,0.2,43,41.7,1,0.3,5,4.6
2020,도로변,동대문구,30,37.8,4,1.4,12,7.6,-,-,14,28.8
2020,도로변,중랑구,16,10,7,3.5,9,6.5,-,-,-,-
2020,도로변,성북구,13,9.8,5,2.7,5,4.7,2,2.1,1,0.3
2020,도로변,강북구,8,8.7,-,-,3,3.2,5,5.5,-,-
2020,도로변,도봉구,8,12.9,2,1.4,6,11.5,-,-,-,-
2020,도로변,노원구,40,42.9,2,1.6,27,28.3,11,13,-,-
2020,도로변,은평구,30,39.8,-,-,28,37.2,2,2.6,-,-
2020,도로변,서대문구,47,31.1,-,-,17,7.6,4,1.8,26,21.7
2020,도로변,마포구,57,65.7,7,6,7,10.1,13,10,30,39.6
2020,도로변,양천구,59,55.5,25,22.1,30,23.3,-,-,4,10.2
2020,도로변,강서구,80,76.4,36,31.9,44,44.5,-,-,-,-
2020,도로변,구로구,38,26.5,4,1.8,32,23.8,-,-,2,1
2020,도로변,금천구,19,8.9,4,2.9,15,6,-,-,-,-
2020,도로변,영등포구,82,63.8,8,5.1,15,6.7,30,20.3,29,31.7
2020,도로변,동작구,17,13.9,-,-,15,13.1,-,-,2,0.8
2020,도로변,관악구,19,29.5,3,4.7,8,21.4,-,-,8,3.4
2020,도로변,서초구,44,37.4,2,2.2,38,30.7,4,4.5,-,-
2020,도로변,강남구,65,90,7,11.9,54,75.1,4,3,-,-
2020,도로변,송파구,186,97.1,44,19.4,140,75.9,2,1.8,-,-
2020,도로변,강동구,66,72,17,17.5,48,53.9,1,0.6,-,-
2020,기타,소계,64,280.3,15,44.3,49,236.1,-,-,-,-
2020,기타,교량,10,8.9,1,1.1,9,7.8,-,-,-,-
2020,기타,하천,50,266.2,12,39.5,38,226.8,-,-,-,-
2020,기타,공원,4,5.2,2,3.7,2,1.5,-,-,-,-
