기준연월,구,사고건수,사망자수,부상자수
2019년 8월,성북구,2,0,2
2019년 9월,성북구,1,0,1
2019년 10월,성북구,4,0,4
2019년 11월,성북구,4,0,4
2019년 12월,성북구,1,0,1
2020년 1월,성북구,7,0,9
2020년 2월,성북구,3,0,3
2020년 3월,성북구,3,0,3
2020년 4월,성북구,2,0,2
2020년 5월,성북구,3,0,3
2020년 6월,성북구,1,0,1
2020년 7월,성북구,8,0,9
2020년 8월,성북구,2,0,2
2020년 9월,성북구,3,0,3
2020년 10월,성북구,5,0,6
2020년 11월,성북구,2,0,2
2020년 12월,성북구,1,0,1
2016년 1월,도봉구,4,0,4
2016년 2월,도봉구,1,0,1
2016년 3월,도봉구,8,0,8
2016년 4월,도봉구,7,0,9
2016년 5월,도봉구,7,1,6
2016년 6월,도봉구,7,0,8
2016년 7월,도봉구,9,0,9
2016년 8월,도봉구,9,0,9
2016년 9월,도봉구,6,0,8
2016년 10월,도봉구,8,0,10
2016년 11월,도봉구,3,0,3
2016년 12월,도봉구,1,0,1
2017년 1월,도봉구,1,0,1
2017년 2월,도봉구,4,0,4
2017년 3월,도봉구,3,0,4
2017년 4월,도봉구,8,0,8
2017년 5월,도봉구,7,0,7
2017년 6월,도봉구,5,0,5
2017년 7월,도봉구,8,0,8
2017년 8월,도봉구,10,0,10
2017년 9월,도봉구,7,0,7
2017년 10월,도봉구,6,0,7
2017년 11월,도봉구,6,0,6
2017년 12월,도봉구,1,0,1
2018년 1월,도봉구,2,0,2
2018년 2월,도봉구,3,0,3
2018년 3월,도봉구,2,0,2
2018년 4월,도봉구,6,0,6
2018년 5월,도봉구,6,1,5
2018년 6월,도봉구,3,0,3
2018년 7월,도봉구,2,0,2
2018년 8월,도봉구,6,0,6
2018년 9월,도봉구,6,0,6
2018년 10월,도봉구,4,0,5
2018년 11월,도봉구,4,0,4
2018년 12월,도봉구,1,0,1
2019년 1월,도봉구,4,0,5
2019년 2월,도봉구,3,0,3
2019년 3월,도봉구,5,0,5
2019년 4월,도봉구,2,0,2
2019년 5월,도봉구,10,0,18
2019년 6월,도봉구,11,0,14
2019년 7월,도봉구,4,0,6
2019년 8월,도봉구,6,0,6
2019년 9월,도봉구,6,0,6
2019년 10월,도봉구,7,0,8
2019년 11월,도봉구,3,0,3
2019년 12월,도봉구,1,0,1
2020년 1월,도봉구,2,0,2
2020년 2월,도봉구,4,0,4
2020년 3월,도봉구,2,1,1
2020년 4월,도봉구,4,0,4
2020년 5월,도봉구,8,0,9
2020년 6월,도봉구,9,0,9
2020년 7월,도봉구,10,0,12
2020년 8월,도봉구,2,0,2
2020년 9월,도봉구,4,0,4
2020년 10월,도봉구,8,0,9
2020년 11월,도봉구,4,0,4
2020년 12월,도봉구,0,0,0
2016년 1월,은평구,0,0,0
2016년 2월,은평구,1,0,1
2016년 3월,은평구,5,0,5
2016년 4월,은평구,6,0,6
2016년 5월,은평구,7,0,7
2016년 6월,은평구,7,0,10
2016년 7월,은평구,8,0,8
2016년 8월,은평구,7,0,7
2016년 9월,은평구,7,1,10
2016년 10월,은평구,5,1,5
2016년 11월,은평구,0,0,0
2016년 12월,은평구,3,0,3
2017년 1월,은평구,3,0,3
2017년 2월,은평구,2,0,2
2017년 3월,은평구,5,0,5
2017년 4월,은평구,3,0,3
2017년 5월,은평구,3,0,3
2017년 6월,은평구,7,0,8
2017년 7월,은평구,7,0,7
2017년 8월,은평구,5,0,5
2017년 9월,은평구,8,0,8
2017년 10월,은평구,1,0,1
2017년 11월,은평구,7,0,7
2017년 12월,은평구,0,0,0
2018년 1월,은평구,3,0,3
2018년 2월,은평구,1,0,1
2018년 3월,은평구,2,0,2
2018년 4월,은평구,5,0,5
2018년 5월,은평구,3,0,4
2018년 6월,은평구,7,0,7
2018년 7월,은평구,8,1,7
2018년 8월,은평구,5,0,5
2018년 9월,은평구,10,0,11
2018년 10월,은평구,2,0,3
2018년 11월,은평구,3,0,3
2018년 12월,은평구,2,0,3
2019년 1월,은평구,2,0,2
2019년 2월,은평구,6,0,8
2019년 3월,은평구,3,0,3
2019년 4월,은평구,2,0,2
2019년 5월,은평구,8,0,8
2019년 6월,은평구,10,0,12
2019년 7월,은평구,6,0,6
2019년 8월,은평구,7,1,7
2019년 9월,은평구,4,0,4
2019년 10월,은평구,6,0,9
2019년 11월,은평구,8,0,8
2019년 12월,은평구,0,0,0
2020년 1월,은평구,1,0,1
2020년 2월,은평구,3,0,4
2020년 3월,은평구,6,0,8
2020년 4월,은평구,2,0,3
2020년 5월,은평구,1,0,1
2020년 6월,은평구,5,0,5
2020년 7월,은평구,6,1,5
